Sample_ID	Mutant.309.R1.drna.DVBt.DVB.S7.R1.001	Mutant.309.R2.drna.DVBt.DVB.S8.R1.001	Mutant.309.R3.drna.DVBt.DVB.S9.R1.001	WT.39.R1.drna.DVBt.DVB.S13.R1.001	WT.39.R2.drna.DVBt.DVB.S14.R1.001	WT.39.R3.drna.DVBt.DVB.S15.R1.001	GBA.KTI6.1.dRNA.DVBt.DVB.S10.R1.001.bam	GBA.KTI6.2.dRNA.DVBt.DVB.S11.R1.001.bam	GBA.KTI6.3.dRNA.DVBt.DVB.S12.R1.001.bam	WT.56.1.dRNA.DVBt.DVB.S13.R1.001.bam	WT.56.2.dRNA.DVBt.DVB.S14.R1.001.bam	WT.56.3.dRNA.DVBt.DVB.S15.R1.001.bam
RAB41	85.0	72.0	78.0	42.0	42.0	26.0	68.0	41.0	40.0	37.0	39.0	48.0
RAB42	18.0	34.0	24.0	18.0	4.0	5.0	8.0	10.0	12.0	22.0	14.0	22.0
RAB42P1	1.0	0.0	2.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0
RAB43	10.0	10.0	19.0	3.0	3.0	4.0	8.0	9.0	6.0	11.0	9.0	6.0
RAB43P1	110.0	109.0	109.0	35.0	31.0	48.0	96.0	69.0	57.0	86.0	65.0	65.0
RAB44	1.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
RAB4A	1473.0	1683.0	1868.0	2098.0	2426.0	2569.0	1502.0	1450.0	1210.0	1620.0	2925.0	2223.0
RAB4B	21.0	10.0	15.0	19.0	12.0	2.0	7.0	5.0	5.0	14.0	4.0	6.0
RAB4B-EGLN2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAB5A	4340.0	4394.0	4031.0	3047.0	3447.0	3068.0	3400.0	3004.0	2597.0	2728.0	2501.0	2782.0
RAB5B	6371.0	6503.0	7156.0	5917.0	6753.0	7126.0	6420.0	6083.0	5301.0	6410.0	5544.0	5478.0
RAB5C	766.0	865.0	1053.0	930.0	1123.0	1089.0	776.0	915.0	726.0	826.0	1048.0	1297.0
RAB5CP1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAB5CP2	0.0	1.0	2.0	1.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0
RAB5IF	53.0	67.0	77.0	34.0	47.0	54.0	21.0	15.0	18.0	23.0	19.0	35.0
RAB6A	5735.0	5976.0	7467.0	11821.0	14216.0	15279.0	5639.0	5301.0	4597.0	7067.0	7730.0	8140.0
RAB6B	3190.0	3564.0	6850.0	15743.0	19907.0	23180.0	4606.0	5329.0	4715.0	13542.0	14959.0	14562.0
RAB6C	1251.0	1292.0	1459.0	2671.0	3405.0	3239.0	1329.0	1151.0	1048.0	1408.0	1535.0	1666.0
RAB6C-AS1	16.0	24.0	21.0	104.0	113.0	77.0	27.0	31.0	32.0	39.0	73.0	46.0
RAB6D	601.0	708.0	743.0	1710.0	1768.0	1602.0	199.0	227.0	195.0	313.0	360.0	350.0
RAB7A	7974.0	7643.0	9165.0	10001.0	11444.0	11170.0	6588.0	6611.0	5627.0	7559.0	8587.0	8961.0
RAB7B	9.0	7.0	5.0	9.0	1.0	1.0	17.0	5.0	9.0	31.0	45.0	49.0
RAB8A	466.0	455.0	517.0	319.0	349.0	427.0	429.0	401.0	348.0	370.0	336.0	420.0
RAB8B	1408.0	1519.0	1790.0	1943.0	2247.0	2480.0	1308.0	1285.0	1071.0	1445.0	1303.0	1658.0
RAB9A	1144.0	1140.0	1143.0	448.0	492.0	362.0	1862.0	1449.0	1317.0	919.0	865.0	1202.0
RAB9AP1	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
RAB9AP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAB9AP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAB9AP4	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
RAB9AP5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
